Email_Content,Category
I am having trouble logging into my account. Can you please assist me?,Customer Support
Your recent transfer of $500 to John Doe was successful.,Transaction Alert
Don't miss out on our limited-time offer! Sign up for our premium account today and get exclusive benefits.,Promotional Email
Warning: We detected suspicious activity on your account. Please verify your recent transactions.,Fraudulent Alert
We have updated our privacy policy. Please review the changes.,Account Update
I haven't received my monthly statement yet. When can I expect it?,Customer Support
A charge of $100 has been deducted from your account for your recent purchase.,Transaction Alert
Beware of phishing emails claiming to be from our company. We will never ask for your password via email.,Fraudulent Alert
Introducing our new cashback rewards program! Earn rewards on every purchase.,Promotional Email
Your account password has been reset. Please log in to create a new password.,Account Update
Congratulations! You've won a free cruise. Click here to claim your prize!,Spam
Get rich quick with our investment scheme. Guaranteed returns in no time!,Spam
Urgent: Your account needs immediate attention. Click here to avoid suspension.,Spam
Unbelievable offers on luxury watches. Limited stock available. Buy now!,Spam
Your request for a loan has been approved. Click here to receive funds instantly.,Spam
Subscribe to our newsletter for the latest updates on financial markets.,Newsletter Subscription
Your monthly account statement for January 2024 is now available for download.,Account Statement
Explore new investment opportunities with our expert guidance.,Investment Opportunity
Important: Regulatory changes affecting your financial accounts.,Regulatory Update
Stay informed with our latest insights on market trends.,Market Insights
Your utility bill payment of $50 is due next week. Click here to pay now.,Bill Payment
Unlock exclusive loan offers tailored to your needs.,Loan Offer
Your credit score has been updated. Check your latest score here.,Credit Score Update
Five budgeting tips to help you achieve your financial goals.,Financial Planning Tips
Reminder: Tax filing deadline approaching. Ensure timely submission.,Tax Reminder
Update: Your insurance policy renewal is due next month.,Insurance Notification
Plan for retirement with our personalized retirement planning tool.,Retirement Planning Advice
Alert: Unrecognized login attempt detected on your account.,Security Alert
Access our budgeting tools to manage your finances effectively.,Budgeting Tool
Don't forget to make your upcoming loan payment by the due date.,Payment Reminder
Don't miss out on our special discount! Subscribe today.,Promotional Email
I am experiencing account recovery help needed. Can you assist me?,Customer Support
I am experiencing problem with account verification. Can you assist me?,Customer Support
We have changed our terms of service. Please review the changes.,Account Update
Your recent transfer of $130 to CDgrX was successful.,Transaction Alert
Don't miss out on our limited-time offer! Get started.,Promotional Email
Don't miss out on our limited-time offer! Subscribe today.,Promotional Email
Don't miss out on our one-time promotion! Subscribe today.,Promotional Email
Your recent withdrawal of $823 to tgCJB was successful.,Transaction Alert
